id,date,process,pending,approved
302,02-07-2025,"Paytm Bank Mysore",0,20
304,01-07-2025,RBI-Bhubaneswar,0,9
305,01-07-2025,RBI-Chandigarh,0,32
306,01-07-2025,RBI-Kochi,0,7
308,02-07-2025,RBI-Bhubaneswar,0,8
309,02-07-2025,RBI-Chandigarh,0,32
310,02-07-2025,RBI-Kochi,0,7
312,03-07-2025,RBI-Bhubaneswar,0,9
313,03-07-2025,RBI-Chandigarh,0,30
314,03-07-2025,RBI-Kochi,0,7
316,04-07-2025,RBI-Bhubaneswar,0,9
317,04-07-2025,RBI-Chandigarh,0,31
318,04-07-2025,RBI-Kochi,0,7
360,01-07-2025,"GO NOISE",0,40
364,02-07-2025,"GO NOISE",0,35
368,03-07-2025,"GO NOISE",0,46
372,04-07-2025,"GO NOISE",0,50
384,01-07-2025,"CESC Kolkata",0,14
386,02-07-2025,"CESC Kolkata",0,12
387,03-07-2025,"CESC Kolkata",0,13
388,04-07-2025,"CESC Kolkata",0,14
390,01-07-2025,"VD2H IB-Chennai",0,39
392,02-07-2025,"VD2H IB-Chennai",0,37
394,03-07-2025,"VD2H IB-Chennai",0,44
396,04-07-2025,"VD2H IB-Chennai",0,40
397,01-07-2025,"Paytm Bank Noida",0,15
399,02-07-2025,"Paytm Bank Noida",0,14
401,03-07-2025,GS-1,0,8
402,03-07-2025,"Paytm Bank Noida",0,14
404,04-07-2025,GS-1,0,8
406,03-07-2025,"Aakash Institue",0,30
407,03-07-2025,"Bajaj Allianz-Noida",0,60
409,04-07-2025,"Aakash Institue",0,27
410,04-07-2025,"Bajaj Allianz-Noida",0,53
412,04-07-2025,"DISH TV-OB",0,1
414,04-07-2025,VD2H-OB,0,41
415,04-07-2025,BSES-NOIDA,0,27
416,04-07-2025,PSPCL,0,159
424,01-07-2025,VD2H-HYD,0,18
426,02-07-2025,VD2H-HYD,0,18
428,03-07-2025,VD2H-HYD,0,17
430,04-07-2025,VD2H-HYD,0,14
431,05-07-2025,Unknown,0,149
432,05-07-2025,VD2H-HYD,0,17
433,06-07-2025,Unknown,0,20
434,06-07-2025,VD2H-HYD,0,18
441,01-07-2025,"DISH IB-HYD",0,18
443,02-07-2025,"DISH IB-HYD",0,20
445,03-07-2025,"DISH IB-HYD",0,18
447,04-07-2025,"DISH IB-HYD",0,18
449,05-07-2025,"DISH IB-HYD",0,19
451,06-07-2025,"DISH IB-HYD",0,1
453,05-07-2025,"MMT FILLER",0,1
454,05-07-2025,"MMT Flight",0,25
456,06-07-2025,"MMT FILLER",0,1
457,06-07-2025,"MMT Flight",0,22
459,05-07-2025,"DISH TV-OB",0,2
461,05-07-2025,VD2H-OB,0,42
462,06-07-2025,"DISH TV-OB",0,2
464,06-07-2025,VD2H-OB,0,38
465,05-07-2025,BSES-NOIDA,0,28
466,05-07-2025,PSPCL,0,165
468,06-07-2025,BSES-NOIDA,0,26
469,06-07-2025,PSPCL,0,162
471,04-07-2025,"Amazon - HYD",0,2
472,05-07-2025,"Amazon - HYD",0,2
473,04-07-2025,"Namma yatri-Bengaluru",0,7
475,05-07-2025,"Namma yatri-Bengaluru",0,7
477,06-07-2025,"Namma yatri-Bengaluru",0,5
480,04-07-2025,"Namma yatri-Chennai",0,3
481,05-07-2025,"Namma yatri-Chennai",0,3
482,06-07-2025,"Namma yatri-Chennai",0,2
491,05-07-2025,NHA,0,2
493,06-07-2025,NHA,0,15
495,05-07-2025,"Max life-SDPL",0,6
556,05-07-2025,Adani,0,16
557,05-07-2025,"GoQii-Inbound	",0,2
558,05-07-2025,GoQii-Outbound,0,2
559,05-07-2025,"HDFC PERSISTENCY",0,15
560,05-07-2025,"I-Pru Mumbai ",0,39
561,05-07-2025,"IDFC Cross Sale",0,155
562,05-07-2025,"IDFC Digi Sales",0,7
563,05-07-2025,Jio-Insure,0,11
564,05-07-2025,"L&T SME",0,8
565,05-07-2025,"L&T Services-Mumbai",0,23
566,05-07-2025,MGL,0,20
567,05-07-2025,"Nayara Mumbai",0,8
568,05-07-2025,"Reliance Nippon",0,50
570,05-07-2025,"Yes Bank",0,57
571,06-07-2025,Adani,0,16
572,06-07-2025,"I-Pru Mumbai ",0,33
573,06-07-2025,Jio-Insure,0,6
574,06-07-2025,MGL,0,14
575,06-07-2025,"Nayara Mumbai",0,3
576,06-07-2025,"Reliance Nippon",0,7
586,03-07-2025,ZET,0,18
589,04-07-2025,ZET,0,16
590,05-07-2025,Mpokket,0,1
592,05-07-2025,ZET,0,15
594,06-07-2025,ZET,0,18
599,03-07-2025,"Poshan Helpline-Hyd",0,1
601,04-07-2025,"Poshan Helpline-Hyd",0,1
603,05-07-2025,"Poshan Helpline-Hyd",0,1
613,03-07-2025,EDCIL,0,1
614,03-07-2025,MEITY,0,1
615,03-07-2025,"Poshan Helpline",0,34
617,04-07-2025,EDCIL,0,2
618,04-07-2025,MEITY,0,1
619,04-07-2025,"Poshan Helpline",0,34
621,05-07-2025,EDCIL,0,2
622,05-07-2025,MEITY,0,1
623,05-07-2025,NHDC,0,1
624,05-07-2025,"Poshan Helpline",0,34
626,06-07-2025,MEITY,0,1
639,03-07-2025,"Dish TV-IB",0,5
640,03-07-2025,UNICEF,0,14
642,03-07-2025,VIDEOCON,0,3
643,04-07-2025,"Dish TV-Backend",0,1
644,04-07-2025,"Dish TV-IB",0,6
645,04-07-2025,UNICEF,0,14
647,04-07-2025,VIDEOCON,0,3
648,05-07-2025,"Dish TV-Backend",0,1
649,05-07-2025,"Dish TV-IB",0,6
650,05-07-2025,UNICEF,0,13
652,05-07-2025,VIDEOCON,0,3
653,06-07-2025,"Dish TV-IB",0,7
655,06-07-2025,VIDEOCON,0,4
656,04-07-2025,"Paytm Bank Noida",0,13
658,05-07-2025,GS-1,0,8
659,05-07-2025,"Paytm Bank Noida",0,18
661,06-07-2025,"Paytm Bank Noida",0,16
663,05-07-2025,"Aakash Institue",0,28
664,05-07-2025,"Bajaj Allianz-Noida",0,55
666,06-07-2025,"Aakash Institue",0,28
667,06-07-2025,"Bajaj Allianz-Noida",0,52
669,05-07-2025,"SBI Card",0,6
671,06-07-2025,"SBI Card",0,2
673,04-07-2025,Qurex,0,3
675,05-07-2025,Qurex,0,4
677,06-07-2025,Qurex,0,3
678,05-07-2025,MOT,0,52
680,06-07-2025,MOT,0,49
682,07-07-2025,"MMT FILLER",0,12
683,07-07-2025,"MMT Flight",0,27
684,07-07-2025,Unknown,0,17
689,05-07-2025,"Muthoot Finance",0,1
691,06-07-2025,Mpokket,0,124
692,06-07-2025,"Muthoot Finance",0,1
694,07-07-2025,Mpokket,0,140
695,07-07-2025,"Muthoot Finance",0,1
778,07-07-2025,Adani,0,16
779,07-07-2025,"GoQii-Inbound	",0,2
780,07-07-2025,GoQii-Outbound,0,2
781,07-07-2025,"HDFC PERSISTENCY",0,13
782,07-07-2025,"I-Pru Mumbai ",0,38
783,07-07-2025,"IDFC Cross Sale",0,170
784,07-07-2025,"IDFC Digi Sales",0,9
785,07-07-2025,Jio-Insure,0,11
786,07-07-2025,"L&T SME",0,9
787,07-07-2025,"L&T Services-Mumbai",0,22
788,07-07-2025,MGL,0,20
789,07-07-2025,"Nayara Mumbai",0,7
790,07-07-2025,"Reliance Nippon",0,53
792,07-07-2025,"Yes Bank",0,60
793,07-07-2025,"SBI Card",0,1
795,06-07-2025,"Dish TV-Backend",0,14
797,07-07-2025,"Dish TV-Backend",0,1
799,07-07-2025,MOT,0,49
801,07-07-2025,"Max life-SDPL",0,7
809,07-07-2025,"DISH TV-OB",0,2
811,07-07-2025,VD2H-OB,0,36
812,07-07-2025,BSES-NOIDA,0,27
813,07-07-2025,PSPCL,0,162
830,07-07-2025,NHA,0,1
833,08-07-2025,NHA,0,1
834,08-07-2025,"SBI Card",0,1
835,08-07-2025,Unknown,0,142
847,03-07-2025,"Paytm Bank Mysore",0,22
849,04-07-2025,"Paytm Bank Mysore",0,20
851,05-07-2025,"Paytm Bank Mysore",0,22
853,06-07-2025,"Paytm Bank Mysore",0,21
855,07-07-2025,"Paytm Bank Mysore",0,22
857,08-07-2025,"Paytm Bank Mysore",0,21
875,05-07-2025,RBI-Bhubaneswar,0,9
876,05-07-2025,RBI-Chandigarh,0,31
877,05-07-2025,RBI-Kochi,0,7
879,07-07-2025,RBI-Bhubaneswar,0,10
880,07-07-2025,RBI-Chandigarh,0,31
881,07-07-2025,RBI-Kochi,0,6
883,08-07-2025,RBI-Bhubaneswar,0,10
884,08-07-2025,RBI-Chandigarh,0,31
885,08-07-2025,RBI-Kochi,0,7
961,07-07-2025,Qurex,0,4
962,08-07-2025,"Dish TV-Backend",0,1
964,08-07-2025,MOT,0,52
1062,08-07-2025,Adani,0,17
